ja5e    – Assumed units of 'mm' for 'cell width'. 
at57d   – Assumed units of 'mm' for 'cell width'. No diluent data. 
at157a  – Fixed typo. No diluent data. 
at184a  – Assumed units of 'mm' for 'cell width'. No diluent data. 
at128a  – Assumed units of 'mm' for 'cell width'. 
at171a  – Assumed units of 'mm' for 'cell width'. No diluent data. 
at157l  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
mk9a    – No diluent data. 
at187a  – No diluent data. 
at166b  – No diluent data. 
at198d  – No diluent data. 
at166a  – No diluent data. 
js13c   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
mk7a    – Assumed units of 'unitless' for 'dilution ratio'. 
at148a  – No diluent data. 
at150a  – No diluent data. 
at150b  – No diluent data. 
at151   – No diluent data. 
at199c  – No diluent data. 
at199d  – No diluent data. 
at86a   – Assumed units of 'unitless' for 'dilution ratio'. 
at57f   – No diluent data. 
at57c-mk – No diluent data. 
mk157n  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
mk6     – Assumed units of 'unitless' for 'dilution ratio'. 
at184b  – Missing labels (deduced from plots). No diluent data. 
at129c  – No diluent data. 
at129e  – No diluent data. 
at172a  – No diluent data. 
mk8b    – No diluent data. 
at192b  – No diluent data. 
at157e  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
ja12    – Assumed units of 'mm' for 'cell width'. Standardized '%' to 'percent'. 
at13b   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
mk7c    – Assumed units of 'mm' for 'cell size'. Standardized 'cell size' to 'cell width'. 
at149a  – No diluent data. 
at157c  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at157f  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
mk157g  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at203   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at158   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at128b  – No diluent data. 
at172d  – No diluent data. 
at157j  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at157m  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
ja8c    – Extraneous comma. Assumed units of 'mm' for 'cell width'. 
ja8d    – Assumed units of 'mm' for 'cell width'. 
ja17    – No diluent data. 
ja8a    – No diluent data. 
at13f   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at13e   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at13d   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
mk7d    – Assumed units of 'mm' for 'cell size'. Standardized '%' to 'percent'. Standardized 'cell size' to 'cell width'. 
at154b  – Assumed units of 'mm' for 'cell width'. No diluent data. 
at152   – No diluent data. 
at153   – No diluent data. 
at154a  – No diluent data. 
at37    – Assumed units of 'mm' for 'cell width'. 
at157h  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at157k  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
mk184d  – No equivalence ratio data. No oxidizer data. No diluent data. 
mk168a  – Assumed units of 'unitless' for 'h2s mole fraction'. No diluent data. 
mk168b  – Assumed units of 'unitless' for 'h2s mole fraction'. No diluent data. 
at172b  – No diluent data. 
at171b  – No diluent data. 
at172c  – No diluent data. 
at172e  – No diluent data. 
at172f  – No diluent data. 
at172g  – No diluent data. 
at172h  – No diluent data. 
at172i  – No diluent data. 
at172j  – No diluent data. 
at172k  – No diluent data. 
at170a  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at170b  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at170c  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at172l  – No diluent data. 
at172m  – No diluent data. 
at172n  – No diluent data. 
at172o  – No diluent data. 
at172p  – No diluent data. 
mk2     – No diluent data. 
at189   – Assumed units of 'mm' for 'cell length'. 
at70a   – Assumed units of 'mm' for 'cell length'. 
at70b   – Assumed units of 'mm' for 'cell length'. 
at70c   – Assumed units of 'mm' for 'cell length'. 
at193a  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at194c  – No diluent data. 
at194a  – Assumed units of 'mm' for 'cell length'. No diluent data. 
mk1a    – No initial temperature data. No diluent data. 
mk1b    – No initial temperature data. No diluent data. 
mk1c    – No initial temperature data. No diluent data. 
mk1d    – No initial temperature data. No diluent data. 
mk3a    – No initial temperature data. No diluent data. 
mk3b    – No initial temperature data. No diluent data. 
mk3c    – No initial temperature data. No diluent data. 
mk3d    – No initial temperature data. No diluent data. 
mk4a    – No initial temperature data. 
mk4b    – No initial temperature data. 
mk4c    – No initial temperature data. 
mk4d    – No initial temperature data. 
at194b  – Assumed units of 'mm' for 'cell length'. No diluent data. 
at93a   – Missing labels (deduced from plots). 
at93b   – Missing labels (deduced from plots). 
at139a  – No diluent data. 
at139e  – No diluent data. 
at140a  – No diluent data. 
at140b  – No diluent data. 
at169e  – Assumed units of 'kPa' for 'initial pressure'. Assumed units of 'mm' for 'cell length'. 
at169a  – Assumed units of 'kPa' for 'initial pressure'. Assumed units of 'mm' for 'cell length'. 
at169d  – Assumed units of 'kPa' for 'initial pressure'. Assumed units of 'mm' for 'cell length'. 
at169c  – Assumed units of 'kPa' for 'initial pressure'. Assumed units of 'mm' for 'cell length'. 
at169b  – Assumed units of 'kPa' for 'initial pressure'. Assumed units of 'mm' for 'cell length'. 
mk23a   – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'mm' for 'critical diameter'. Standardized 'critical diameter' to 'critical tube diameter'. No diluent data. 
mk23b   – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'mm' for 'critical diameter'. Standardized 'critical diameter' to 'critical tube diameter'. No diluent data. 
at72a   – Assumed units of 'unitless' for 'dilution ratio'. Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'critical tube diameter'. 
at56a   – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at75a   – Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at72c   – Assumed units of 'unitless' for 'dilution ratio'. Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'critical tube diameter'. 
at75b   – Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at75d   – Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'critical tube diameter'. 
at75c   – Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'critical tube diameter'. 
at43    – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at161a  – Assumed units of 'mm' for 'tube diameter'. Assumed units of 'kPa' for 'initial pressure'. Standardized 'tube diameter' to 'critical tube diameter'. 
at161b  – Assumed units of 'mm' for 'tube diameter'. Assumed units of 'kPa' for 'initial pressure'. Standardized 'tube diameter' to 'critical tube diameter'. 
at161c  – Assumed units of 'mm' for 'tube diameter'. Assumed units of 'kPa' for 'initial pressure'. Standardized 'tube diameter' to 'critical tube diameter'. 
at161d  – Assumed units of 'mm' for 'tube diameter'. Assumed units of 'kPa' for 'initial pressure'. Standardized 'tube diameter' to 'critical tube diameter'. 
at147a  – Assumed units of 'kPa' for 'initial pressure'. Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'critical tube diameter'. 
at147b  – Assumed units of 'kPa' for 'initial pressure'. Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at147c  – Assumed units of 'kPa' for 'initial pressure'. Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'critical tube diameter'. 
at147d  – Assumed units of 'kPa' for 'initial pressure'. Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'critical tube diameter'. 
mk137k  – Fixed typo. No diluent data. 
att2    – Assumed units of 'kPa' for 'initial pressure'. Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at71a   – Assumed units of 'unitless' for 'dilution ratio'. Standardized 'tube diameter' to 'critical tube diameter'. 
at22a4  – Assumed units of 'unitless' for 'equivalence ratio'. Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at66b   – Assumed units of 'unitless' for 'dilution ratio'. Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'critical tube diameter'. 
at66a   – Assumed units of 'unitless' for 'dilution ratio'. Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'critical tube diameter'. 
at22a1  – Assumed units of 'unitless' for 'equivalence ratio'. Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at20a   – Assumed units of 'unitless' for 'equivalence ratio'. Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
mk127   – Assumed units of 'unitless' for 'dilution ratio'. Standardized 'tube diameter' to 'critical tube diameter'. 
at162a  – Standardized 'tube diameter' to 'critical tube diameter'. 
at162b  – Standardized 'tube diameter' to 'critical tube diameter'. 
at162c  – Standardized 'tube diameter' to 'critical tube diameter'. 
at163a  – Assumed units of 'unitless' for 'dilution ratio'. Standardized 'tube diameter' to 'critical tube diameter'. 
mk142a  – Assumed units of 'unitless' for 'dilution ratio'. Standardized 'tube diameter' to 'critical tube diameter'. 
at56c   – Assumed units of 'unitless' for 'equivalence ratio'. Standardized 'tube diameter' to 'critical tube diameter'. No initial temperature data. No diluent data. 
at137g  – Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at56d   – Assumed units of 'unitless' for 'equivalence ratio'. Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at80b   – Assumed units of 'unitless' for 'equivalence ratio'. Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at80c   – Assumed units of 'unitless' for 'equivalence ratio'. Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at66c   – Assumed units of 'unitless' for 'dilution ratio'. Standardized 'tube diameter' to 'critical tube diameter'. 
at22b   – Assumed units of 'unitless' for 'equivalence ratio'. Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at22c   – Assumed units of 'unitless' for 'equivalence ratio'. Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at77a   – Assumed units of 'unitless' for 'equivalence ratio'. Standardized 'tube diameter' to 'critical tube diameter'. 
at77b   – Assumed units of 'unitless' for 'equivalence ratio'. Standardized 'tube diameter' to 'critical tube diameter'. 
at77c   – Assumed units of 'unitless' for 'equivalence ratio'. Standardized 'tube diameter' to 'critical tube diameter'. 
at77d   – Assumed units of 'unitless' for 'equivalence ratio'. Standardized 'tube diameter' to 'critical tube diameter'. 
at200c  – Assumed units of 'unitless' for 'dilution ratio'. Standardized 'tube diameter' to 'critical tube diameter'. 
at31c   – Assumed units of 'unitless' for 'equivalence ratio'. Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at143a  – Assumed units of 'unitless' for 'dilution ratio'. Standardized 'tube diameter' to 'critical tube diameter'. 
at137h  – Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at137i  – Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at137j  – Standardized 'tube diameter' to 'critical tube diameter'. No diluent data. 
at66d   – Assumed units of 'unitless' for 'dilution ratio'. Standardized 'tube diameter' to 'critical tube diameter'. 
at66e   – Assumed units of 'unitless' for 'dilution ratio'. Standardized 'tube diameter' to 'critical tube diameter'. 
at66f   – Assumed units of 'unitless' for 'dilution ratio'. Standardized 'tube diameter' to 'critical tube diameter'. 
mk22e   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
mk30    – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at34b   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at34c   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at24    – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'J' for 'critical energy'. No diluent data. 
at181a  – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'J' for 'critical energy'. No diluent data. 
at181b  – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'J' for 'critical energy'. No diluent data. 
mk82a   – Hidden units of J/cm deduced from plot. No diluent data. 
at55a   – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'J' for 'critical energy'. No diluent data. 
at55b   – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'J' for 'critical energy'. No diluent data. 
at123a  – Assumed units of 'J' for 'critical energy'. 
at123b  – Assumed units of 'J' for 'critical energy'. 
at123d  – Assumed units of 'J' for 'critical energy'. 
at123e  – Assumed units of 'J' for 'critical energy'. 
at123f  – Assumed units of 'J' for 'critical energy'. 
at124b  – Assumed units of 'J' for 'critical energy'. 
at124c  – Assumed units of 'J' for 'critical energy'. 
at124d  – Assumed units of 'J' for 'critical energy'. 
at124e  – Assumed units of 'J' for 'critical energy'. 
at126a  – Assumed units of 'J' for 'critical energy'. 
at126b  – Assumed units of 'J' for 'critical energy'. 
at126c  – Assumed units of 'J' for 'critical energy'. 
at126d  – Assumed units of 'J' for 'critical energy'. 
at126e  – Assumed units of 'J' for 'critical energy'. 
at53    – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'g tetryl' for 'critical charge'. Assumed units of 'J' for 'critical energy'. No diluent data. 
at67a   – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'J' for 'critical energy'. No diluent data. 
at49a   – No diluent data. 
at49b   – No diluent data. 
at195d  – Hidden units of J/cm deduced from plot. No diluent data. 
at195e  – Hidden units of J/cm deduced from plot. No diluent data. 
at177a  – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'J' for 'critical energy'. No diluent data. 
at210a  – Assumed units of 'unitless' for 'dilution ratio'. Assumed units of 'J' for 'critical energy'. 
at209a  – Hidden units of J/cm deduced from plot. No diluent data. 
at210b  – Assumed units of 'unitless' for 'dilution ratio'. Assumed units of 'J' for 'critical energy'. No initial temperature data. 
at79a   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at195c  – Hidden units of J/cm deduced from plot. No diluent data. 
at115   – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'J' for 'critical energy'. No diluent data. 
at108a  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at108b  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at82c   – No diluent data. 
at82b   – Standardized 'critical energy (J/cm)' to 'cylindrical critical energy'. No diluent data. 
at44a   – Assumed units of 'unitless' for 'equivalence ratio'. No initial pressure data. No initial temperature data. No diluent data. 
at54a   – Standardized 'critical energy (J/cm)' to 'cylindrical critical energy'. No diluent data. 
at105a  – Standardized 'critical energy (J/cm)' to 'cylindrical critical energy'. No diluent data. 
at84a   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at109a  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at109b  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at109c  – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at79b   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at32b   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at92    – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at32f   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at32g   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at32e   – Assumed units of 'unitless' for 'equivalence ratio'. 
at44c   – Assumed units of 'unitless' for 'equivalence ratio'. No diluent data. 
at26    – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'minimum tube diameter'. No diluent data. 
at27a   – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'minimum tube diameter'. No diluent data. 
at27b   – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'minimum tube diameter'. No diluent data. 
at28a   – Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'minimum tube diameter'. 
at28b   – Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'minimum tube diameter'. 
at28c   – Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'minimum tube diameter'. 
at28d   – Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'minimum tube diameter'. 
at28e   – Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'minimum tube diameter'. 
at133   – Assumed units of 'unitless' for 'equivalence ratio'. Assumed units of 'mm' for 'tube diameter'. Standardized 'tube diameter' to 'minimum tube diameter'. No diluent data. 
